companey_name,address,companey_category,contact,website,detail_url,latitude,longitude,img_src,rating,reviews_count
Garden Inn Restaurant,"130/C, 130 Sadar Rd, Barishal",Restaurant,01711-368036,tel:01711368036,"https://www.google.com/maps/place/Garden+Inn+Restaurant/@22.7017108,90.3700496,17z/data=!3m1!4b1!4m6!3m5!1s0x37553408b4a48e5f:0xe461d959573ee14f!8m2!3d22.7017108!4d90.3700496!16s%2Fg%2F11gdy8bc9s?authuser=0&hl=en&entry=ttu",22.7017108,90.3700496,https://lh5.googleusercontent.com/p/AF1QipNc4D7u1of8jIKSK5Y_JhlxA93feX-GYGLzXwVR=w426-h240-k-no,3.8,528
The River Cafe,"Police Line Rd, Barishal 8200",Restaurant,01713-393416,tel:01713393416,"https://www.google.com/maps/place/The+River+Cafe/@22.695055,90.3655548,17z/data=!3m1!4b1!4m6!3m5!1s0x3755340dda6ff05b:0x46e1761c3452e515!8m2!3d22.695055!4d90.3655548!16s%2Fg%2F1tgg89yk?authuser=0&hl=en&entry=ttu",22.695055,90.3655548,https://lh5.googleusercontent.com/p/AF1QipNyBL_Oeya5jeFSw0borbQikkPTDYnU-4lgSrec=w408-h306-k-no,3.8,665
Zafran Restaurant Barishal,Barishal,Restaurant,01870-703070,tel:01870703070,"https://www.google.com/maps/place/Zafran+Restaurant+Barishal/@22.6805582,90.3496872,17z/data=!3m1!4b1!4m6!3m5!1s0x375535f9f5ee07cd:0x8e99419ea9eb7b6d!8m2!3d22.6805582!4d90.3496872!16s%2Fg%2F11j5fm515j?authuser=0&hl=en&entry=ttu",22.6805582,90.3496872,https://lh5.googleusercontent.com/p/AF1QipOVPw_EQmwgcw2ctlzXxrbCJ3LQHjtwurJgAAvn=w408-h544-k-no,4.0,710
HOT PLATE Restaurant,"8200 Police Line Rd, Barishal 8200",Restaurant,01790-441111,https://www.facebook.com/hotplatebd/,"https://www.google.com/maps/place/HOT+PLATE+Restaurant/@22.6970138,90.3680859,17z/data=!3m1!4b1!4m6!3m5!1s0x3755340e82fc17b3:0x4359b36325a84784!8m2!3d22.6970138!4d90.3680859!16s%2Fg%2F11cltgdkgh?authuser=0&hl=en&entry=ttu",22.6970138,90.3680859,https://lh5.googleusercontent.com/p/AF1QipPl2dYBQ1L26WZkRX8hzRJ-8Wg32CdkeFKIbGcV=w426-h240-k-no,3.9,"1,189"
BFG Restaurant,"M9W9+VFJ, Police Line Rd, Barishal 8200",Restaurant,01718-341558,tel:01718341558,"https://www.google.com/maps/place/BFG+Restaurant/@22.697222,90.3686388,17z/data=!3m1!4b1!4m6!3m5!1s0x3755340e9eb32b25:0x1fb88f8a0da463a8!8m2!3d22.697222!4d90.3686388!16s%2Fg%2F11r8qll_w?authuser=0&hl=en&entry=ttu",22.697222,90.3686388,https://lh5.googleusercontent.com/p/AF1QipO66_fyx5mx0krYavxAuNEG_OzzDdsASRCYdg0y=w426-h240-k-no,4.0,527
Tawa Restaurant & Bakery,"C & B Road, 1178 Choumatha, Barishal 8200",Restaurant,01971-868292,https://www.foodpanda.com.bd/restaurant/jv9z/tawa-restaurant?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,"https://www.google.com/maps/place/Tawa+Restaurant+%26+Bakery/@22.6988263,90.353743,17z/data=!3m1!4b1!4m6!3m5!1s0x3755343c553d17a9:0xf09acd4c67de8263!8m2!3d22.6988263!4d90.353743!16s%2Fg%2F11f0kqdk5z?authuser=0&hl=en&entry=ttu",22.6988263,90.353743,https://lh5.googleusercontent.com/p/AF1QipP5dGGe9MQSE-qqNyARzwrLypr1p08nUgR9MTD6=w408-h272-k-no,4.0,"1,326"
South King Chinese Restaurant,"M9WC+8C5, Band Rd, Barishal 8200",Chinese restaurant,01711-358915,http://www.bdfoodnavi.com/detail/691#tabs-1,"https://www.google.com/maps/place/South+King+Chinese+Restaurant/@22.6957735,90.3710997,17z/data=!3m1!4b1!4m6!3m5!1s0x3755340bc26c6545:0x194a2ac7d8aa8622!8m2!3d22.6957735!4d90.3710997!16s%2Fg%2F1hdz1lqz5?authuser=0&hl=en&entry=ttu",22.6957735,90.3710997,https://lh5.googleusercontent.com/p/AF1QipP2K3qtA9r_R3OsGraWGDKQOdmsXJREGRmqtDG_=w470-h240-k-no,3.7,353
Barishal King Restaurant,"835 C and B Rd, Barishal 8200",Restaurant,01904-126881,https://www.foodpanda.com.bd/restaurant/q7lo/barishal-king-restaurant?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,"https://www.google.com/maps/place/Barishal+King+Restaurant/@22.6930815,90.3546039,17z/data=!3m1!4b1!4m6!3m5!1s0x375535090f25835b:0x92f12c1f0625c82!8m2!3d22.6930815!4d90.3546039!16s%2Fg%2F11r1925s9p?authuser=0&hl=en&entry=ttu",22.6930815,90.3546039,https://lh5.googleusercontent.com/p/AF1QipNu0FFG3YErcCV5kkqjcxOVGphOy8LZQfr0ve2T=w408-h306-k-no,4.1,259
Lake View Restaurant,"Choumatha Lake, C and B Rd, Barishal 8200",Restaurant,01972-515212,tel:01972515212,"https://www.google.com/maps/place/Lake+View+Restaurant/@22.7014771,90.3527781,17z/data=!3m1!4b1!4m6!3m5!1s0x3755343ce51088a5:0x24516d9a765ed86d!8m2!3d22.7014771!4d90.3527781!16s%2Fg%2F11c5wlq746?authuser=0&hl=en&entry=ttu",22.7014771,90.3527781,https://lh5.googleusercontent.com/p/AF1QipP-L9TDrUPVaAMpbRq7BtcvES6OqdAP86Ad4yea=w408-h306-k-no,3.9,888
Shawarma House Restaurant,"P924+FV9, M.A Jolil Sarok.Korim kuti, 8200",Restaurant,01734-476966,https://www.foodpanda.com.bd/restaurant/u2au/shawarama-house-barisal?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action,"https://www.google.com/maps/place/Shawarma+House+Restaurant/@22.7011693,90.3572253,17z/data=!3m1!4b1!4m6!3m5!1s0x375535b3d80ec171:0x993fb946f3568b88!8m2!3d22.7011693!4d90.3572253!16s%2Fg%2F11g9qkq72t?authuser=0&hl=en&entry=ttu",22.7011693,90.3572253,https://lh5.googleusercontent.com/p/AF1QipNriqM3z5-cc5e87hsbf13pt3Y_DfWuYg6qRI0h=w408-h306-k-no,3.7,516
